"IssuerID","State","Plan Type","ReportingUnitID","PlanID","OverallRatingValue","MedicalCareRatingValue","MemberExperienceRatingValue","PlanAdministrationRatingValue","NotRatedReason_OverallRatingDesc","NotRatedReason_MedicalCareRatingDesc","NotRatedReason_MemberExperienceRatingDesc","NotRatedReason_PlanAdministrationRatingDesc"
10091,OR,PPO,10091-OR-PPO,10091OR0750002,4,4,3,5,,,,
10091,OR,PPO,10091-OR-PPO,10091OR0750003,4,4,3,5,,,,
10091,OR,PPO,10091-OR-PPO,10091OR0750004,4,4,3,5,,,,
10091,OR,PPO,10091-OR-PPO,10091OR0750005,4,4,3,5,,,,
10091,OR,PPO,10091-OR-PPO,10091OR0750011,4,4,3,5,,,,
10091,OR,PPO,10091-OR-PPO,10091OR0750012,4,4,3,5,,,,
10091,OR,PPO,10091-OR-PPO,10091OR0750013,4,4,3,5,,,,
10091,OR,PPO,10091-OR-PPO,10091OR0750014,4,4,3,5,,,,
10091,OR,PPO,10091-OR-PPO,10091OR0760001,4,4,3,5,,,,
10207,VA,HMO,10207-VA-HMO,10207VA0380001,4,4,2,4,,,,
10207,VA,HMO,10207-VA-HMO,10207VA0380003,4,4,2,4,,,,
10207,VA,HMO,10207-VA-HMO,10207VA0380004,4,4,2,4,,,,
10207,VA,HMO,10207-VA-HMO,10207VA0430003,4,4,2,4,,,,
10207,VA,HMO,10207-VA-HMO,10207VA0430006,4,4,2,4,,,,
10207,VA,POS,10207-VA-POS,10207VA0440004,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
11269,WY,PPO,11269-WY-PPO,11269WY0070004,2,1,3,3,,,,
11269,WY,PPO,11269-WY-PPO,11269WY0070011,2,1,3,3,,,,
11269,WY,PPO,11269-WY-PPO,11269WY0070013,2,1,3,3,,,,
11269,WY,PPO,11269-WY-PPO,11269WY0070014,2,1,3,3,,,,
11269,WY,PPO,11269-WY-PPO,11269WY0070016,2,1,3,3,,,,
11269,WY,PPO,11269-WY-PPO,11269WY0070018,2,1,3,3,,,,
11269,WY,PPO,11269-WY-PPO,11269WY0070019,2,1,3,3,,,,
11269,WY,PPO,11269-WY-PPO,11269WY0070022,2,1,3,3,,,,
11269,WY,PPO,11269-WY-PPO,11269WY0070023,2,1,3,3,,,,
11269,WY,PPO,11269-WY-PPO,11269WY0070024,2,1,3,3,,,,
11269,WY,PPO,11269-WY-PPO,11269WY0070025,2,1,3,3,,,,
11269,WY,PPO,11269-WY-PPO,11269WY0070026,2,1,3,3,,,,
11269,WY,PPO,11269-WY-PPO,11269WY0170015,2,1,3,3,,,,
11269,WY,PPO,11269-WY-PPO,11269WY0170016,2,1,3,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0100002,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0100009,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0100010,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0100011,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0100012,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0100013,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0100014,4,3,5,3,,,,
